record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Io        21:20 12 57 41.06 -04 49 27.8 2000.0 dra=1.3258 ddec=-9.82 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        21:30 12 57 41.28 -04 49 29.5 2000.0 dra=1.3459 ddec=-9.96 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        21:40 12 57 41.51 -04 49 31.1 2000.0 dra=1.3659 ddec=-10.1 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        21:50 12 57 41.74 -04 49 32.8 2000.0 dra=1.3856 ddec=-10.2 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        22:00 12 57 41.97 -04 49 34.6 2000.0 dra=1.4051 ddec=-10.3 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        22:10 12 57 42.21 -04 49 36.3 2000.0 dra=1.4243 ddec=-10.4 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        22:20 12 57 42.45 -04 49 38.1 2000.0 dra=1.4432 ddec=-10.6 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        22:30 12 57 42.69 -04 49 39.8 2000.0 dra=1.4619 ddec=-10.7 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        22:40 12 57 42.94 -04 49 41.6 2000.0 dra=1.4802 ddec=-10.8 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        22:50 12 57 43.19 -04 49 43.5 2000.0 dra=1.4983 ddec=-10.9 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        23:00 12 57 43.44 -04 49 45.3 2000.0 dra=1.5161 ddec=-11.1 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
HD106965        12 17 57.54 +01 34 31.1 2000.0 rotmode=pa rotdest=0 vmag=7.54 rmag=7.54 hmag=7.338 jmag=7.318 kmag=7.294 lmag=7.311 mmag=7.32 sptype=A0/1V
HD105601        12 09 27.79 +38 37 54.6 2000.0 rotmode=pa rotdest=0 vmag=7.39 rmag=7.13 hmag=6.713 jmag=6.776 kmag=6.665 lmag=6.669 mmag=6.7 sptype=Am
HD77281         09 01 38.00 -01 28 34.7 2000.0 rotmode=pa rotdest=0 vmag=7.35 rmag=7.35 hmag=7.029 jmag=7.037 kmag=7.017 lmag=7.041 mmag=7.02 sptype=A3IV
