record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Uranus    21:00 01 45 34.33 +10 17 16.8 2000.0 dra=0.1146 ddec=0.587 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    21:10 01 45 34.35 +10 17 16.9 2000.0 dra=0.1148 ddec=0.586 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    21:20 01 45 34.36 +10 17 17.0 2000.0 dra=0.1151 ddec=0.586 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    21:30 01 45 34.38 +10 17 17.1 2000.0 dra=0.1153 ddec=0.585 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    21:40 01 45 34.40 +10 17 17.2 2000.0 dra=0.1156 ddec=0.585 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    21:50 01 45 34.42 +10 17 17.3 2000.0 dra=0.1159 ddec=0.584 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    22:00 01 45 34.44 +10 17 17.4 2000.0 dra=0.1161 ddec=0.584 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    22:10 01 45 34.46 +10 17 17.5 2000.0 dra=0.1164 ddec=0.584 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    22:20 01 45 34.48 +10 17 17.6 2000.0 dra=0.1166 ddec=0.583 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    22:30 01 45 34.50 +10 17 17.7 2000.0 dra=0.1169 ddec=0.583 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    22:40 01 45 34.52 +10 17 17.8 2000.0 dra=0.1172 ddec=0.583 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    22:50 01 45 34.54 +10 17 17.9 2000.0 dra=0.1174 ddec=0.583 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    23:00 01 45 34.56 +10 17 17.9 2000.0 dra=0.1177 ddec=0.583 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
HD18881         03 03 31.94 +38 24 36.0 2000.0 rotmode=pa rotdest=0 vmag=7.14 rmag=7.14 hmag=7.136 jmag=7.081 kmag=7.136 lmag=7.16 mmag=7.17 sptype=A0
HD40335         05 58 13.52 +01 51 23.0 2000.0 rotmode=pa rotdest=0 vmag=6.91 rmag=6.91 hmag=6.468 jmag=6.518 kmag=6.43 lmag=6.441 mmag=6.41 sptype=A1II
HD44612         06 24 46.60 +43 32 54.5 2000.0 rotmode=pa rotdest=0 vmag=7.22 rmag=7.22 hmag=7.067 jmag=7.066 kmag=7.048 lmag=7.05 mmag=7.07 sptype=A0
